,2014 Crimean crisis,2014 FIFA World Cup,2014 Hong Kong protests,2014 Israel–Gaza conflict,2014 Winter Olympics,Ebola virus epidemic in West Africa,Heartbleed,Islamic State of Iraq and the Levant,Malaysia Airlines Flight 370,Robin Williams,"Scottish independence referendum, 2014"
2014-05-19,4943.0,48083.0,0.0,0.0,1699.0,0.0,3981.0,2021.0,18786.0,4032.0,2571.0
2014-05-20,4944.0,50044.0,0.0,0.0,2045.0,0.0,4043.0,2111.0,17916.0,4058.0,2603.0
2014-05-21,5106.0,51558.0,0.0,0.0,1931.0,0.0,4465.0,1978.0,15303.0,3861.0,2344.0
2014-05-22,5097.0,52905.0,0.0,0.0,1949.0,0.0,4486.0,1933.0,13731.0,3947.0,2890.0
2014-05-23,4998.0,57225.0,0.0,0.0,1904.0,0.0,4469.0,2374.0,12951.0,4116.0,3088.0
2014-05-24,3129.0,44736.0,0.0,0.0,1540.0,0.0,2296.0,2473.0,10639.0,3596.0,2019.0
2014-05-25,3526.0,44889.0,0.0,0.0,1492.0,0.0,1991.0,1751.0,10487.0,4517.0,2379.0
2014-05-26,4526.0,56087.0,0.0,0.0,1626.0,0.0,2934.0,2087.0,13752.0,6312.0,3868.0
2014-05-27,6010.0,65280.0,0.0,0.0,1817.0,0.0,3798.0,2157.0,19426.0,4496.0,3001.0
2014-05-28,5679.0,71861.0,0.0,0.0,2467.0,0.0,3504.0,2313.0,13552.0,5068.0,3535.0
2014-05-29,5235.0,69283.0,0.0,0.0,1937.0,0.0,3280.0,1725.0,18243.0,5108.0,2645.0
2014-05-30,4612.0,66586.0,0.0,0.0,1841.0,0.0,2904.0,1703.0,11070.0,4848.0,3010.0
2014-05-31,3052.0,63279.0,0.0,0.0,1364.0,0.0,1821.0,1459.0,7813.0,4631.0,2080.0
2014-06-01,3372.0,76275.0,0.0,0.0,1557.0,0.0,2011.0,2213.0,8594.0,5903.0,2355.0
2014-06-02,4341.0,105535.0,0.0,0.0,1929.0,0.0,3207.0,2361.0,10473.0,4385.0,3140.0
2014-06-03,4782.0,111303.0,0.0,0.0,1773.0,0.0,3728.0,2142.0,12927.0,4657.0,2641.0
2014-06-04,4848.0,114064.0,0.0,0.0,2027.0,0.0,5474.0,1840.0,13663.0,4257.0,2871.0
2014-06-05,4227.0,102993.0,0.0,0.0,1846.0,0.0,3315.0,1832.0,11135.0,4059.0,3082.0
2014-06-06,3772.0,94794.0,0.0,0.0,1572.0,0.0,3364.0,1648.0,8586.0,3728.0,2546.0
2014-06-07,2984.0,77976.0,0.0,0.0,1392.0,0.0,1816.0,1846.0,7533.0,3683.0,1907.0
2014-06-08,3097.0,85904.0,0.0,0.0,1491.0,0.0,1746.0,1858.0,11360.0,3959.0,2801.0
2014-06-09,3463.0,135462.0,0.0,0.0,1680.0,0.0,3038.0,2159.0,12858.0,4468.0,4154.0
2014-06-10,3363.0,157617.0,0.0,0.0,1873.0,0.0,3040.0,21759.0,11849.0,3942.0,3157.0
2014-06-11,3283.0,204744.0,0.0,0.0,1820.0,0.0,2839.0,57920.0,10597.0,5087.0,4410.0
2014-06-12,3196.0,494388.0,0.0,0.0,2454.0,0.0,2587.0,49383.0,11108.0,3842.0,3789.0
2014-06-13,2844.0,397486.0,0.0,0.0,2165.0,0.0,2035.0,46821.0,9429.0,3513.0,2714.0
2014-06-14,2875.0,319278.0,0.0,0.0,2005.0,0.0,1227.0,26641.0,8833.0,3784.0,2107.0
2014-06-15,2777.0,325443.0,0.0,0.0,1869.0,0.0,1220.0,9002.0,9426.0,4473.0,2682.0
2014-06-16,3444.0,369885.0,0.0,0.0,2017.0,0.0,2559.0,8494.0,10590.0,3582.0,2799.0
2014-06-17,3211.0,363499.0,0.0,0.0,2040.0,0.0,2189.0,6655.0,9903.0,3559.0,2570.0
2014-06-18,2840.0,363083.0,0.0,0.0,1939.0,0.0,2059.0,4627.0,9867.0,3458.0,2630.0
2014-06-19,2955.0,373497.0,0.0,0.0,1728.0,0.0,1868.0,3967.0,8709.0,3256.0,2588.0
2014-06-20,2932.0,364590.0,0.0,0.0,1594.0,0.0,1730.0,2366.0,8507.0,3241.0,2832.0
2014-06-21,2403.0,277558.0,0.0,0.0,1445.0,0.0,1153.0,2170.0,7625.0,3487.0,2054.0
2014-06-22,2402.0,272579.0,0.0,0.0,2556.0,0.0,1164.0,2406.0,8835.0,3300.0,2310.0
2014-06-23,2572.0,429540.0,0.0,0.0,2587.0,0.0,2441.0,2804.0,9943.0,3541.0,2779.0
2014-06-24,2784.0,406287.0,0.0,0.0,2054.0,0.0,2355.0,2581.0,10440.0,3310.0,2925.0
2014-06-25,2659.0,430292.0,0.0,0.0,1699.0,0.0,2072.0,2271.0,8928.0,3302.0,2542.0
2014-06-26,2286.0,434577.0,0.0,0.0,1784.0,0.0,1779.0,1815.0,11378.0,3275.0,2956.0
2014-06-27,3253.0,263690.0,0.0,0.0,1470.0,0.0,1484.0,1862.0,9977.0,3301.0,2668.0
2014-06-28,1888.0,223307.0,0.0,0.0,1236.0,0.0,965.0,1377.0,6144.0,3164.0,2454.0
2014-06-29,1718.0,250289.0,0.0,0.0,1558.0,0.0,909.0,3409.0,5632.0,3496.0,2491.0
2014-06-30,2189.0,287389.0,0.0,0.0,1835.0,0.0,1657.0,19594.0,6914.0,3411.0,3004.0
2014-07-01,2691.0,288826.0,0.0,0.0,1620.0,0.0,1569.0,22725.0,6520.0,8203.0,2507.0
2014-07-02,2472.0,213831.0,0.0,0.0,1729.0,0.0,1523.0,20080.0,6810.0,14193.0,2421.0
2014-07-03,2264.0,126362.0,0.0,0.0,1431.0,0.0,1560.0,20178.0,7487.0,5722.0,2658.0
2014-07-04,1941.0,172886.0,0.0,0.0,1399.0,0.0,1143.0,14161.0,6679.0,4872.0,2696.0
2014-07-05,2127.0,200282.0,0.0,0.0,1279.0,0.0,738.0,15324.0,5926.0,3756.0,2227.0
2014-07-06,2178.0,150384.0,0.0,0.0,1178.0,0.0,876.0,21277.0,6424.0,4485.0,2490.0
2014-07-07,2696.0,125957.0,0.0,0.0,1450.0,0.0,1579.0,25358.0,9896.0,4315.0,3311.0
2014-07-08,2278.0,199010.0,0.0,0.0,1597.0,0.0,1512.0,23121.0,9624.0,3597.0,3047.0
2014-07-09,2436.0,265425.0,0.0,0.0,1758.0,0.0,1537.0,16652.0,9038.0,3684.0,2699.0
